company,job_title,job_id,job_type,salary_range,salary_freq,level,industry,job_description,requirements
TESSA THERAPEUTICS LTD.,"Manager, Clinical Data Management", JOB-2019-0088700 ,"Permanent, Full Time",Salary undisclosed,,Manager,Healthcare / Pharmaceutical,"Roles & ResponsibilitiesJob Description This individual will work closely with the Clinical Trial team to provide direction and oversight for Clinical Data Management (CDM) deliverables.  This Individual will liaise with Contract Research Organizations (CROs) and/or external vendors in all aspects of data management for assigned trial(s). Responsibilities  Develop internal CDM guidelines and quality processes to ensure final databases are accurate Provide oversight and participate in study set-up and initiation procedures such as CRF design, database design, edit check design/review, and DMP (data management plan) review Perform review of clinical trial protocols, with focus on potential CDM issues and cross-study data consistency Oversee all CDM activities performed by CROs, from study start-up, through database lock Ensures the proper collection, management, and storage of clinical trial data (according to regulatory requirements) Manage the incorporation of external datasets and final production of datasets for regulatory submission Perform data validation and quality checks, and initiate corrective and preventive actions as indicated Summarize data to reflect progress of clinical trial(s) and quality of data and sites on periodic and as required Participate in other activities and meetings to support the Clinical Trial Team as needed Represent CDM and effectively communicate requirements, strategy, timelines, and deliverables at internal cross functional team meetings and meeting with external vendors ","RequirementsRequirements  Bachelor’s or Master’s degree in scientific, biological, statistical, computer science, or related field At least 5 years of clinical trial data management experience Working knowledge of Electronic Data Capture and other trial-associated database systems Proficiency with Microsoft Office (Excel, Word, Outlook, Power Point) Experience in Industry-sponsored Oncology trials an added advantage "
UPS ASIA GROUP PTE. LTD.,APAC Internal Audit Data Analytics Assistant Manager, JOB-2019-0059399 ,"Permanent, Full Time","$5,839to$10,121",Monthly,Manager,"Accounting / Auditing / Taxation, Risk Management, Logistics / Supply Chain","Roles & ResponsibilitiesSummary The Internal Audit Data Analytics Assistant Manager conducts audits pertaining to risk management, Sarbanes-Oxley (SOX), and internal controls in medium and high complexity areas with minimal supervision. He/She in responsible for audit preparation, creation, testing, and reporting of results. The incumbent working under the direction of the Audit Manager, leads all aspects of assigned audit engagements. He/She assists external auditors in addressing testing and compliance issues. The Internal Audit Data Analytics Assistant Manager play a vital role in the development & implementation of data analytics program into the audit methodology.   Responsibilities   Controls self-audit processes (SOX and Non-SOX)  Retests to verify testing was completed per IIA and department Standards (e.g., end-of-year sampling, roll forward testing, retesting, etc.). Reviews self-audit tests to ensure complete and proper documentation is provided. Reports audit review finding to management to obtain additional corrective actions and to highlight improvement opportunities for future self-audit reviews. Reviews effectiveness of established self-audit processes and recommends improvement to management to validate that self-audits are properly completed. Documents findings and action plans on the year-end Corrective Action Plan (CAP) to provide as reference for management and external auditors.    Executes Audits  Adheres to new accounting guidelines to ensure successful implementation into the audit process. Allocates resources and expenses as planned to ensure audits are completed on time and within budget. Uses auditing web tool (i.e., risk management area reporting tool) to document audit findings. Manages progress of audit programs to ensure proper completion (e.g., sufficient number of samples reviewed, audit properly completed, etc.).    Validates Appropriateness of Corrective Action Plan Results  Completes the action plan document (i.e., CAP) to provide test results and recommendations.   Interacts with District, Region and Corporate management to finalize audit results and obtain corrective actions. Follows-up with management to ensure corrective actions were implemented.    Leads Audit Preparation  Develops test plans for new areas to identify milestone activities. Assists manager to complete the risk assessment process and development of audit schedules. Reviews audit processes (e.g., process map, narrative and control point listing, etc.) to ensure documentation is current and to identify any gaps in test procedures. Interviews relevant staff to confirm process activities are documented accurately. Prepares work papers (i.e., description of implemented audit controls tests) to formally document audit activities. Completes audit preparation activities (travel arrangements, pre-site testing, etc.) to ensure a smooth audit engagement.    Coordinates with External Auditors as required  Meets with external auditors to respond to process documentation requests (e.g., review annual testing plans, audit test findings, etc.). Assists external auditors with additional testing required to verify previous results. Provides years- end final documentation to ensure compliance with Sarbanes-Oxley and prevent misstatements of financial reporting.    Data Analytics  Determine the analytics needed for the various audits performed. Analyze data to generate meaningful and actionable insights to enhance internal controls. Detailed analysis of large datasets to improve on internal models and programmes. ","RequirementsSPECIFIC COMPETENCIES:  Accounting Knowledge – Demonstrates a broad business and accounting knowledge; describes methods in compliance with Generally Accepted Accounting Principles (GAAP). Detail Orientation – Distinguishes between “big picture” concepts and comments and specialized, smaller specific facts associated with work; notes the specifics of events and experiences; explains, in general, how details impact end goals or outcomes; ensures that work is completed accurately and with the appropriate level of detail.  Legal, Regulatory and Compliance Knowledge – Applies knowledge of agencies’ functions and regulations to compliance and enforcement activities; identifies routine situations where the organization may be out of compliance as well as the specific impacts of non-compliance. Project Planning – Demonstrates an understanding of basic project planning processes, including planning action items and resources.    Requirements  Possess a Bachelor’s Degree in Accounting, Finance or any related field of study. Minimum 5 years of experience in similar capacity performing internal/external auditing and developing data analytics models is required. Prior experience with Big 4 Accounting Firm is preferred. Certified Public Accountant (CPA) or Certified Internal Auditor (CIA) is preferable. Proficient in Chinese or one other Asian language is a bonus.  Able to travel 50% of the time mainly in the Asia-Pacific Region. May be called upon to travel to other Regions.  Exceptional analytical, conceptual, and problem-solving abilities. Require demonstrated skills in Microsoft Office Programs (MS Word, MS Excel, MS Powerpoint) Prior experience working on Oracle and Blackline will have an added advantage. "
STANDARD CHARTERED BANK (SINGAPORE) LIMITED,Data Migration Manager, JOB-2019-0088262 ,Full Time,"$8,000to$14,999",Monthly,Manager,"Banking and Finance, Information Technology","Roles & ResponsibilitiesAbout Standard Chartered  We are a leading international bank focused on helping people and companies prosper across Asia, Africa and the Middle East.   To us, good performance is about much more than turning a profit.  It's about showing how you embody our valued behaviours - do the right thing, better together and never settle - as well as our brand promise, Here for good.  We're committed to promoting equality in the workplace and creating an inclusive and flexible culture - one where everyone can realise their full potential and make a positive contribution to our organisation. This in turn helps us to provide better support to our broad client base. The Role Responsibilities  - This position will be responsible for the successful execution of deploying the next generation digital platform and analyzes the adoption and usage of the platform  - Be a Digital Channel platform expertise for product deployment:  - Create management dashboards for monitoring the usage of channel product and services and get it implemented with the technology team  - Results monitoring and analysis, with production of monthly/quarterly management data to highlight deployment progress and product usage  - Provide insights on product usage and recommend improvements on digital platform usage  - Analyze client usage metrics and provide recommendations for platform performance improvement  - Enhancement of the migration processes with more deep data analytics  - Work with Technology team to facilitate migration  - Client selection and usage analysis for migration. Good understanding of the current classic application and assess the client selection before the list is shared with the regional teams  - Review and sign off use case scenarios and test cases for migration testing  - Ensure that existing customer usage is analyzed, setup and transaction information validated, and signed off prior to go-live  - Perform user acceptance testing as needed  - Work with Country Digital Platform management teams to gather product customizations to local country flavors and to facilitate country adoption and usage  - Collect and analyze data to assist in determining product direction and define changes that will bring in more clients.  - Extend support to the channel management and development teams on a need basis  - Work with the client servicing / support teams to analyse and understand the client query patterns and provide a roadmap of improvements on application  - Assist (with data analysis) to plan, manage, and execute business migration activities (in addition)","RequirementsOur Ideal Candidate  - Minimum 8 years of banking experience in managing digital channels and an expert in transaction banking  - Relevant channel management experience in Transaction Banking space with proficiency in Cash Management and Trade Finance domains  - Analytical methodologies and comfortable to work with large scale data and produce statistical analyses  - Strong product and customer service focus with the ability to communicate with technical management, sales, and client support teams.  - Experience with software development methodologies such as Agile and experience working with Scrum teams  - Prior experience of executing customer migration between digital platforms is highly desirable.  - Strong investigative ability and curiosity to comprehensively explain the trends of migration plan vs progress, client usage patterns etc. Good problem solving and  - strong analytical skills. Comfortable to use analytical tools such as Google Analytics, Power BI, Tableau and proficient in Excel and Power point  - Possess excellent verbal and written communication skills, both technical and functional  - Education- Computer Science and/or Engineering with finance background, MBA, or commercially focused degree. How to Apply Please visit - https://scb.taleo.net/careersection/ex/jobdetail.ftl?job=1900009692&lang=en  to apply now and take the next step in fulfilling your potential. You can search and view current opportunities across our global organisation and apply immediately by visiting www.standardchartered.com.  To help speed up your application, please note the following: •    You will need to log in (or register if you are visiting our careers site for the first time) before you can apply for a specific role •    Some roles may require you to undertake an online talent assessment in addition to completing the application form (to facilitate this process it is preferable that you provide us with an email address as part of your contact information) •    We will ask you about your education, career history and skills and experience, it may be helpful to have this information at hand when completing your application It usually takes 15 - 20 minutes to complete the application form; you can save your application at any time and return to complete it at your convenience. Diversity & Inclusion  Standard Chartered is committed to diversity and inclusion. We believe that a work environment which embraces diversity will enable us to get the best out of the broadest spectrum of people to sustain strong business performance and competitive advantage. By building an inclusive culture, each employee can develop a sense of belonging, and have the opportunity to maximise their personal potential."
DBS BANK LTD.,"SVP, Program Manager (Data Analytic), Institutional Banking Group Technology", JOB-2019-0088339 ,Full Time,"$10,000to$20,000",Monthly,Senior Management,Information Technology,"Roles & ResponsibilitiesBusiness Function   Group Technology and Operations (T&O) enables and empowers the bank with an efficient, nimble and resilient infrastructure through a strategic focus on productivity, quality & control, technology, people capability and innovation. In Group T&O, we manage the majority of the Bank's operational processes and inspire to delight our business partners through our multiple banking delivery channels.       Responsibilities     Deliver data initiative project in DBS across all countries Strategic Project Governance 	 Drive enterprise strategy on testing and production deployment of machine learning and AI products Work closely with and manage project managers from each domain, team members, tech, and stakeholders to monitoring, develop and execute project plans and associated project content.  Track project milestones and deliverables. Implement and track key milestones & relevant KPIs to measure success of projects. Keep management and project sponsors abreast of project developments – set up periodic reviews and prepare relevant documents to communicate progress.   Drive project and program delivery 	 Responsible for ensuring project delivery on time on schedule and with quality Drive the discussion between data science and IT on the architecture and solution design to ensure production and deployment is fully considered Drive the testing and deployment of the machine learning products into production Lead the requirement gathering and release road map for analytic platform features Develop enterprise standards and practice on testing and production deployment of machine learning and AI products Effectively communicate with team members and stakeholders in a timely and clear fashion. Identify and resolve issues and conflicts within the program, projects and project management community and with other stakeholders if necessary.  Resolve issues at the project or line level and escalate issues which cannot be resolved in a timely and accurate manner.   Manage key stakeholders and business and technology leads 	 Manage and communicate effectively with domain leads at senior level and working level teams.  Responsible for ensuring project steering committee meetings, cross function meetings and other key project meetings are effective and achieve objectives on a consistent manner.   Change management 	 Drive the adoption of software development practice in data science teams, such as agile development, software development life cycle (SDLC), continues improvement and continues deployment (CI/CD) and testing strategy. Able to work with users to drive changes within the organization for projects implementation Develop best practices and tools for project execution and management. Ensure utilization of standards and practices across all projects.   ","Requirements At least 15 years of solid experience working in a banking / financial institution in project management office and financial management. Excellent presentation, analytical and articulation skills Solid track record of deploying machine learning solution into production environment and integrate into operation  Expert in identifying and solving issues when putting model into production – load balancing, distribution, through-put, latency, availability, stability, refactoring, repackaging, versioning, scoring, real time / online scoring, performance monitoring and management,  Expert on the open source stack of bid data and machine learning solutions such as Hadoop, Spark, YARN, Mesos, Hive, Impala, Spark Streaming, Kafka, API, Anaconda / R studio server, Kubernetes,  Familiar with development, deployment, production and operation life cycle of the machine learning product and software best practices such as SDLC, CICD, Test-Driven Development (TDD) Excellent problem-solving skills and strategic thinker Proficiency in Python, R, Spark, Java and Scala Good interpersonal skill and able to influence the decision making of data science and IT team Solid written and communication skills Degree in Computing / Computer Science / Engineering preferred. "
CHONG SENG CONSULTANTS PTE. LTD.,Project Manager (Data Centre), JOB-2019-0056439 ,Permanent,"$8,000to$12,000",Monthly,Manager,Building and Construction,"Roles & Responsibilities Project management  Sound knowledge of Data Centre construction / installations, full cycle To liaise with project team on construction and installations of mechanical and electrical services To liaise with Owner / Consultants / Contractors, Suppliers, etc. Attend all necessary meetings / discussions     ","Requirements With at least 8 - 10 years of relevant experience as Project Manager in Data Centre Construction / installations  Bachelor degree / diploma in Electrical Engineering or it's equivalent  Fluent in written and spoken English Organized, responsible, good team player, initiative and positive work attitude Good project management skills and able to work independently Responsible for P&L $8,000-$12,000 (negotiable)   License No. 11C4619 Reg No. R1217747"
OVERSEA-CHINESE BANKING CORPORATION LIMITED,Data Scientist, JOB-2019-0088343 ,Permanent,"$4,800to$8,000",Monthly,Professional,Banking and Finance,"Roles & Responsibilities Develop data science solutions to support AML and Financial Crime Investigation activities in the organization. Design analytical solutions and experiments. Conduct data exploration, feature engineering, visualization and develop models. Be a thought-leader and drive innovation within the organization. ","Requirements Degree in a quantitative subject (e.g. Computer Science, Statistics, Mathematics, Artificial Intelligence, Machine Learning or related field). Minimum 5 years of working experience with AI, ML, Data Science or a related field. Strong proficiency in at least one programming language. Experience with Python preferred. Experience in applying machine learning techniques and designing algorithms that are scalable and production-grade. Clear communicator, with the ability to articulate ideas with data. Experience with operating in a corporate environment and stakeholder management. Strong results driven personality with an innovative spirit.  Preferred:  Experience with network analysis techniques and in developing machine learning solution in the AML field would be a strong advantage. Exposure to financial crime investigations and familiarity with existing and emerging criminal topologies would be advantageous, though not required.   "
COVANCE (ASIA) PTE. LTD.,Data Manager (Central Lab), JOB-2019-0087191 ,"Permanent, Full Time","$5,000to$8,000",Monthly,Professional,Healthcare / Pharmaceutical,"Roles & Responsibilities Engage client data management during start up. Act as a data liaison between Clinical Data Management and all other Covance departments and business units. Create standard data transfer format(s) in compliance with client requests while adhering to both internal processes and regulatory standards. Provide ongoing client support (study maintenance). Attend training to increase Data Manager’s capabilities (including corporate, departmental and sponsor-related training Ensure uninterrupted client service. Record data transfer activities and maintain protocol portfolios as required to track workload and productivity. ","Requirements Bachelor's Degree in relevant fields 4 years of relevant experience in data management and/or clinical trials. Client-facing and stakeholder management skills. Strong organizational, planning and critical-thinking skills. Well-polished, inclusive, and engaging communication skills (written and verbal). Strong negotiation skills to facilitate, guide, influence, and produce a unified approach within a global, cross-functional environment. Ability to handle multiple tasks in a timely and professional manner under demanding conditions. Ability to use standard Microsoft suite of software products. Conversant with database management and terminology. Strong technical aptitude. "
JOHNSON & JOHNSON PTE. LTD.,IT Data & Analytics Manager (FP&A), JOB-2019-0087047 ,Permanent,"$8,000to$16,000",Monthly,Manager,"Information Technology, General Management","Roles & ResponsibilitiesJohnson & Johnson Family of Companies, caring for the world, one person at a time has inspired and united the people of Johnson & Johnson for years. We embrace research and science -- bringing innovative ideas, products and services to advance the health and well-being of people. Thriving on a diverse company culture, celebrating the uniqueness of our employees and committed to inclusion.  Proud to be an equal opportunity employer. We are seeking an IT Manager who can combine Information Technology (IT) expertise with knowledge of the finance planning and analysis and on Finance environment to support transformational change to accelerate business value realization by leveraging legacy (SAP) and emerging platforms in Big Data, in memory and Cloud Based Data Technologies. This position is in Corporate Business Technology ASPAC, reporting into the regional Product Line Owner for Finance & Procurement. Purpose & Responsibilities:  Partner with key business stakeholders in identifying the business’s priorities and product needs, negotiate with business to determine whether story points are built or backlogged & align IT capacity with top business priorities. He/She will be responsible for definition, design and implementation of data acquisition, ingestion and integration of various financial data sets, processes, tools and models in support of Financial Analytics, Planning & Reporting projects. Act as Technical Application owner and support any application lifecycle (ALM) initiatives and requirements He/She will be responsible for identifying, analyzing and planning of the implementation of enhancements/system improvements in financial source systems to improve the overall financial data quality, completeness and timeliness of reporting. ","Requirements Must have Bachelor or equivalent degree in Business, IT, Management, Finance or related field. at least 5 years of professional experience in IT Finance, inclusive of at least 2 years of experience in financial data analytics and reporting and SOX compliance Working knowledge of SAP, Business Warehouse, Teradata, SAP Hana or cloud-based technologies both in project and in enterprise level models.   Strong data mapping skills sufficient to take ownership of all mapping deliverables and ensure successful hand over to the technical or support team Strong SQL skills Takes the initiatives to develop analytics tasks using new technologies (Alteryx, Tableau) Experience with Agile System Development methodologies, including use of Agile tools like JIRA Articulate with excellent verbal and written communication skills Ability to think creatively, highly-driven and self-motivated Demonstrated ability to roll-up sleeves and work with the team in a hands-on management capacity. Able to handle business users in conceptual analysis, problem solving and data analysis, with capability to facilitate business requirements. "
EPS COMPUTER SYSTEMS PTE LTD,Data Scientist (Project Manager), JOB-2019-0087787 ,"Permanent, Contract, Full Time","$6,000to$9,000",Monthly,Manager,Information Technology,"Roles & Responsibilities Project management of development and implementation of Data Analytics projects. Responsible for leading the implementation of Analytic projects by taking into consideration the client’s business case, objectives, requirements and the proposed solution. Design & Build – Conceptual, logical and physical data modelling, information delivery standards, best practices, security in the information delivery environment, information delivery architecture. Assess the readiness of the information delivery environments (including the systems, tools, technologies, processes, and resource requirements) to implement the architecture. Support pre-sales for solution architecture and estimation for Analytics projects. Support delivery planning for Analytic projects, including inputs for project schedule, key deliverables etc. Proactive identification, communication, and management of project risks and issues. Management of project scope and management of the SOW change control process as appropriate. Coordination and enablement of all project sub-teams (analyst, developers, etc.) to ensure they can effectively accomplish their goals. Responsible for project P&L and team utilisation. ","RequirementsRequirements:  PhD/Masters/Bachelors (with good honours) in Computer Science, Statistics, Applied Mathematics, Operations Research, or related disciplines. Prefer candidates with 8 or more years of working experience, with at least 2 years of Artificial Intelligence (AI), Machine Learning (ML), and Advanced Analytics (AA) experience. Proven track record of managing delivery of end-to-end development projects to customer Domain experience in public safety, defence, transport, education, and healthcare are highly desired. AI/ML/AA experience in smart city, social media, and procurement are also highly desired.  Good knowledge of AI/ML/AA models, software, and tools with the ability to conceptualise and architect the key components of AI/ML/AA projects; and to develop prototypes using statistical software packages such as R/SAS/SPSS.  HOW TO APPLY Kindly submit your updated resume in MS Word Format to: camille@eps.com.sg for immediate processing. Do state your availability, current and expected salaries in your resume/email.  Camille Wee (EA Registration No. : R1654076)  "
Company Undisclosed,Manager - Audit (Data Analytics), JOB-2019-0087681 ,Full Time,"$6,000to$10,000",Monthly,Professional,Accounting / Auditing / Taxation,"Roles & Responsibilities·        With the use of data analytics, support the audit by providing insight from analysis and correlation of data extracted from various systems which support the business. Type of testing that the DA can perform includes the following: ·        Background information – Performing data profiling and generating statistics to provide context and information on business processes ·        Recalculation – Re-performing calculations such as payroll, claims payments and metrics from MI packs ·        Exception detection - Finding cases where known restrictions or guidelines have not been adhered to ·        Anomaly detection - Finding typical patterns of behaviour and detecting unusual or anomalous patterns. ·        Root cause analysis - Identifying and quantifying the factors that contribute to a control failure. ·        Provide independent, objective assurance that risks are being managed to ensure they are within the risk appetite approved by the Board. Support the Audit Director in his / her assessment of the overall risk management environment in Prudential.","Requirements·        Minimum 5-10 years of hands on technical experience mining and analyzing data using databases and analytics software ·        A strong working knowledge of SQL in a relational database environment ·        Experience in machine learning and predictive analytics is an added advantage ·        Experience within the financial services industry is preferred, and experience on either insurance of investment management would be ideal ·        Experience of working in an audit / risk management environment would be ideal ·        High attention to detail and rigorous logical thinking ability.  ·        Good team player, who can win and maintain the professional respect of the team."
